NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
1.8,25,3,23,,,2331,1106.0
1.8,25,4,23,,,2302,1109.0
1.8,25,5,23,,,2297,1113.0
1.8,30,1,30,,,2878,1177.0
1.8,30,2,30,,,2903,1153.0
1.8,30,3,30,,,2956,1151.0
1.8,30,4,30,,,2989,1146.0
1.8,30,5,30,,,3027,1153.0
1.8,40,1,41,,,3848,1185.0
1.8,40,2,41,,,3942,1190.0
1.8,40,3,41,,,3957,1189.0
1.8,40,4,41,,,4005,1191.0
1.8,40,5,41,,,3993,1188.0
1.8,50,1,53,,,4979,1196.0
1.8,50,2,53,,,4936,1202.0
1.8,50,3,53,,,5154,1223.0
1.8,50,4,53,,,5215,1216.0
1.8,50,5,53,,,5166,1190.0
1.8,60,1,65,,,6214,1201.0
1.8,60,2,65,,,6277,1226.0
1.8,60,3,65,,,6371,1213.0
1.8,60,4,65,,,6389,1224.0
1.8,60,5,65,,,6456,1210.0
1.8,70,1,76,,,6943,1284.0
1.8,70,2,76,,,7338,1260.0
1.8,70,3,76,,,7355,1250.0
1.8,70,4,76,,,7448,1236.0
1.8,70,5,76,,,7224,1226.0
1.8,80,1,84,,,8205,1283.0
1.8,80,2,86,,,8585,1257.0
1.8,80,3,86,,,8403,1260.0
1.8,80,4,86,,,8526,1236.0
1.8,80,5,86,,,8451,1237.0
1.9,25,1,23,,,2331,1121.0
1.9,25,2,23,,,2331,1121.0
1.9,25,3,23,,,2312,1126.0
1.9,25,4,23,,,2331,1125.0
1.9,25,5,23,,,2329,1124.0
1.9,30,1,31,,,2951,1170.0
1.9,30,2,31,,,2938,1170.0
1.9,30,3,31,,,3009,1177.0
1.9,30,4,31,,,3050,1164.0
1.9,30,5,31,,,3030,1174.0
1.9,40,1,41,,,3516,1211.0
1.9,40,2,41,,,3715,1201.0
1.9,40,3,41,,,3689,1202.0
1.9,40,4,41,,,3737,1207.0
1.9,40,5,41,,,3868,1204.0
1.9,50,1,52,,,4879,1204.0
1.9,50,2,52,,,4913,1222.0
1.9,50,3,53,,,5029,1195.0
1.9,50,4,53,,,5053,1211.0
1.9,50,5,54,,,5065,1217.0
1.9,60,1,63,,,5916,1214.0
1.9,60,2,63,,,5979,1220.0
1.9,60,3,63,,,5947,1218.0
1.9,60,4,63,,,6059,1208.0
1.9,60,5,63,,,6059,1198.0
1.9,70,1,73,,,6914,1223.0
1.9,70,2,73,,,6987,1199.0
1.9,70,3,73,,,6972,1210.0
1.9,70,4,71,,,6225,1204.0
1.9,70,5,71,,,6892,1214.0
1.9,80,1,85,,,7968,1265.0
1.9,80,2,86,,,8095,1248.0
1.9,80,3,86,,,8205,1250.0
1.9,80,4,86,,,7988,1258.0
1.9,80,5,86,,,8062,
2.0,25,1,24,,,2319,1129.0
2.0,25,2,23,,,2300,1144.0
2.0,25,3,23,,,2331,1095.0
2.0,25,4,23,,,2329,1144.0
2.0,25,5,23,,,2345,1134.0
2.0,30,1,31,,,3048,1168.0
2.0,30,2,31,,,3043,1178.0
2.0,30,3,31,,,3045,1188.0
2.0,30,4,31,,,3050,1181.0
2.0,30,5,30,,,2936,1175.0
2.0,40,1,40,,,4008,1215.0
2.0,40,2,41,,,3912,1217.0
2.0,40,3,41,,,3993,1212.0
2.0,40,4,41,,,3996,1219.0
2.0,40,5,41,,,3969,1200.0
2.0,50,1,54,,,5228,1219.0
2.0,50,2,54,,,5274,1219.0
2.0,50,3,54,,,5312,1222.0
2.0,50,4,54,,,5304,1214.0
2.0,50,5,54,,,5355,1185.0
2.0,60,1,64,,,6075,1232.0
2.0,60,2,65,,,6335,1224.0
2.0,60,3,65,,,6335,1194.0
2.0,60,4,65,,,6277,1218.0
2.0,60,5,65,,,6347,1213.0
2.0,70,1,74,,,6324,1219.0
2.0,70,2,74,,,7076,1249.0
2.0,70,3,74,,,7208,1242.0
2.0,70,4,74,,,7240,1225.0
2.0,70,5,74,,,7448,1202.0
2.0,80,1,80,,,7545,1281.0
2.0,80,2,80,,,7758,1260.0
2.0,80,3,80,,,7816,1266.0
2.0,80,4,80,,,7957,1230.0
2.0,80,5,80,,,8030,1230.0
